id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
399,@user-nv7ty2qg5v,"Jokowi lagi sibuk buat giman caranya keluarganya ada yg mimpin, makanya Indonesia kalah .. wani nya piro .. wasitnya ga di kaidah amplop sih",UgxCq3lOOyYJ_0XfkNt4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxCq3lOOyYJ_0XfkNt4AaABAg,2024-04-30 13:16:48,0,"Jokowi lagi sibuk buat giman caranya keluarganya ada yg mimpin, makanya Indonesia kalah .. wani nya piro .. wasitnya ga di kaidah amplop sih",http://www.youtube.com/@user-nv7ty2qg5v
400,@kurniaandri5635,"Klo gua mungkin dah gua tonjok tuh wasit, udah dapet red card 馃槀馃槀馃槀.",UgwK_oyDxB1_kKp0BVB4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwK_oyDxB1_kKp0BVB4AaABAg,2024-04-30 13:03:43,0,"Klo gua mungkin dah gua tonjok tuh wasit, udah dapet red card 馃槀馃槀馃槀.",http://www.youtube.com/@kurniaandri5635
401,@Surya28Official,Secara kualitar uzbe lebih unggul banyak peluang kena mistar gawang Namun scara strategi kita bisa cetak keunggulan lebih dulu Namun sayang kita di gembosi lagi,UgyFt4nb95rT_y8yWZF4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgyFt4nb95rT_y8yWZF4AaABAg,2024-04-30 13:03:27,0,Secara kualitar uzbe lebih unggul banyak peluang kena mistar gawang Namun scara strategi kita bisa cetak keunggulan lebih dulu Namun sayang kita di gembosi lagi,http://www.youtube.com/@Surya28Official
402,@agungsulaksana3053,Bola mantul terlebih dahulu dari tangan kiper Uzbekistan ke\'arah ferari.. Jadi samanta ramadhan tidak offside,UgyfCwk3nlewjeoiiq54AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgyfCwk3nlewjeoiiq54AaABAg,2024-04-30 13:02:01,0,Bola mantul terlebih dahulu dari tangan kiper Uzbekistan ke\'arah ferari.. Jadi samanta ramadhan tidak offside,http://www.youtube.com/@agungsulaksana3053
403,@4MH1CHANNEL,"Semangat terus untuk TIMNAS U-23,,, meskipun wasit nya itu memihak di UZBEKISTAN 馃槷馃槩",UgywmJNMVqF4TUiqlJd4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgywmJNMVqF4TUiqlJd4AaABAg,2024-04-30 13:01:32,0,"Semangat terus untuk TIMNAS U-23,,, meskipun wasit nya itu memihak di UZBEKISTAN 馃槷馃槩",http://www.youtube.com/@4MH1CHANNEL
404,@usmanharun4657,Mereka telah berbuat zholim dan tidaklah melampau batas kalau kita amiinkan doa untuk kezholiman mereka semoga allah membalas kezholiman itu,UgxgQHXt0_DyRRUmtCt4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxgQHXt0_DyRRUmtCt4AaABAg,2024-04-30 13:00:03,0,Mereka telah berbuat zholim dan tidaklah melampau batas kalau kita amiinkan doa untuk kezholiman mereka semoga allah membalas kezholiman itu,http://www.youtube.com/@usmanharun4657
405,@panduarmada7328,"Dari pengamatan saya.. memang posisi Sananta offside, namun yg menerima bola pertama kali dari Arhan adalah Ferrari (onside) yg kemudian diberikan ke Sananta (kali ini dia sudah onside) dan dikembalikan lagi ke Ferrari (onside) utk dijadikan gol.. Apakah itu dianggap offside? Mohon saya dikoreksi",UgyHMxer8lOkjkye4mB4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgyHMxer8lOkjkye4mB4AaABAg,2024-04-30 12:58:55,0,"Dari pengamatan saya.. memang posisi Sananta offside, namun yg menerima bola pertama kali dari Arhan adalah Ferrari (onside) yg kemudian diberikan ke Sananta (kali ini dia sudah onside) dan dikembalikan lagi ke Ferrari (onside) utk dijadikan gol.. Apakah itu dianggap offside? Mohon saya dikoreksi",http://www.youtube.com/@panduarmada7328
406,@usmanharun4657,Tdak perlu pengakuan dan pergaulan internasional kalau harga diri kita di injak2,UgzKNCnCIoZLa3DY2MJ4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzKNCnCIoZLa3DY2MJ4AaABAg,2024-04-30 12:58:24,0,Tdak perlu pengakuan dan pergaulan internasional kalau harga diri kita di injak2,http://www.youtube.com/@usmanharun4657
407,@usmanharun4657,Seharusnya indonesia bertindak tegas dan terhormat...kemenangan dan pertandingan tdk sebanding dgn harga diri...klau saya yg berwenang saya hentikan permainan dan saya pulangkan permainan kita sebgai protes bahwa kita punya martabat,Ugx2QbJNmgOQ-uQKNNx4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugx2QbJNmgOQ-uQKNNx4AaABAg,2024-04-30 12:57:00,0,Seharusnya indonesia bertindak tegas dan terhormat...kemenangan dan pertandingan tdk sebanding dgn harga diri...klau saya yg berwenang saya hentikan permainan dan saya pulangkan permainan kita sebgai protes bahwa kita punya martabat,http://www.youtube.com/@usmanharun4657
408,@CindyNa09,Wasit nya baru bljr tuh,Ugxfii5msb7LaIhG33R4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugxfii5msb7LaIhG33R4AaABAg,2024-04-30 12:56:37,0,Wasit nya baru bljr tuh,http://www.youtube.com/@CindyNa09
409,@toriaja6567,SAYA PERCAYA YG MENANG WASITNYA BUKAN PEMAINNYA馃ぎ馃ぎ馃ぎ,UgwpFFzU3U1DVnQtVEF4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwpFFzU3U1DVnQtVEF4AaABAg,2024-04-30 12:55:26,0,SAYA PERCAYA YG MENANG WASITNYA BUKAN PEMAINNYA馃ぎ馃ぎ馃ぎ,http://www.youtube.com/@toriaja6567
410,@sitisundari3769,"Bener d anggp remeh indo sama negara arab,wasit cari dpt dor..berat sebelah wasitnya",UgymMB5mxLKcVcpapod4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgymMB5mxLKcVcpapod4AaABAg,2024-04-30 12:53:31,0,"Bener d anggp remeh indo sama negara arab,wasit cari dpt dor..berat sebelah wasitnya",http://www.youtube.com/@sitisundari3769
411,@techreview6999,Wasitnya Thailand ma cina yang benci Indonesia 馃槄 11 lawan 13,UgzF_f8bxAQZi8Fyq7R4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzF_f8bxAQZi8Fyq7R4AaABAg,2024-04-30 12:48:35,0,Wasitnya Thailand ma cina yang benci Indonesia 馃槄 11 lawan 13,http://www.youtube.com/@techreview6999
412,@birinspt8829,Kakau kami masyarakat tertinggal lebih kecewatidak bisa menonton. Karena semuanya jadi bisnis. Pemerintah kita dungu nghak menbijaki supaya masyarakat bisa nonton dan mendoakan,Ugxw4jxw38Ai1JYA-Ut4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugxw4jxw38Ai1JYA-Ut4AaABAg,2024-04-30 12:47:53,0,Kakau kami masyarakat tertinggal lebih kecewatidak bisa menonton. Karena semuanya jadi bisnis. Pemerintah kita dungu nghak menbijaki supaya masyarakat bisa nonton dan mendoakan,http://www.youtube.com/@birinspt8829
413,@WisangGeni-cl7oc,"Kartu merah ny gk bnr itu, jelas虏 nendang bola lalu pemain usbek masuk, otomatis lah.. bukan kesengajaan, itu kaki mantul dari kena lutut",UgzhLiLoALJbGUY113d4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzhLiLoALJbGUY113d4AaABAg,2024-04-30 12:46:55,0,"Kartu merah ny gk bnr itu, jelas虏 nendang bola lalu pemain usbek masuk, otomatis lah.. bukan kesengajaan, itu kaki mantul dari kena lutut",http://www.youtube.com/@WisangGeni-cl7oc
414,@user-lb5vo6hj4c,Pemainan,Ugw7AdlhXp4wdnPGAox4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugw7AdlhXp4wdnPGAox4AaABAg,2024-04-30 12:45:51,0,Pemainan,http://www.youtube.com/@user-lb5vo6hj4c
415,@KhasbullahHuda-hw8bv,Kemenangan timnas Indonesia di rampok oleh wasit dari China dan thailand,Ugy2WUzzn0pCOWCalCJ4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy2WUzzn0pCOWCalCJ4AaABAg,2024-04-30 12:43:29,0,Kemenangan timnas Indonesia di rampok oleh wasit dari China dan thailand,http://www.youtube.com/@KhasbullahHuda-hw8bv
